id,category_id,english_us,indonesian,arabic,french,malagasy,image
HG-001,hunger-games-characters,Katniss Everdeen,Katniss Everdeen,كَاتْنِيس إِفِرْدِين,Katniss Everdeen,Katniss Everdeen,katniss-everdeen.jpg
HG-002,hunger-games-characters,Peeta Mellark,Peeta Mellark,بِيتَا مِلَارْك,Peeta Mellark,Peeta Mellark,peeta-mellark.jpg
HG-003,hunger-games-characters,Gale Hawthorne,Gale Hawthorne,غَيْل هَاوْثُورْن,Gale Hawthorne,Gale Hawthorne,gale-hawthorne.jpg
HG-004,hunger-games-characters,Haymitch Abernathy,Haymitch Abernathy,هِيمِيتْش أَبِيرْنَاثِي,Haymitch Abernathy,Haymitch Abernathy,haymitch-abernathy.jpg
HG-005,hunger-games-characters,Effie Trinket,Effie Trinket,إِفِي تْرِينكِت,Effie Trinket,Effie Trinket,effie-trinket.jpg
HG-006,hunger-games-characters,Primrose Everdeen,Primrose Everdeen,بْرِيمْرُوز إِفِرْدِين,Primrose Everdeen,Primrose Everdeen,primrose-everdeen.jpg
HG-007,hunger-games-characters,Cinna,Cinna,سِينَا,Cinna,Cinna,cinna.jpg
HG-008,hunger-games-characters,President Snow,Presiden Snow,الرَّئِيس سْنُو,Président Snow,Filoham-pirenena Snow,president-snow.jpg
HG-009,hunger-games-characters,Rue,Rue,رُو,Rue,Rue,rue.jpg
HG-010,hunger-games-characters,Johanna Mason,Johanna Mason,جُوهَانَّا مَيْسُون,Johanna Mason,Johanna Mason,johanna-mason.jpg
HG-011,hunger-games-characters,Finnick Odair,Finnick Odair,فِينِيك أُودَيْر,Finnick Odair,Finnick Odair,finnick-odair.jpg
HG-012,hunger-games-characters,President Coin,Presiden Coin,الرَّئِيسَة كُوِين,Présidente Coin,Filoham-pirenena Coin,president-coin.jpg
